open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2022-10-24,0.3159,0.3165,0.3053,0.3147,3315691.0,2022-10-24 23:59:59.999000064,1031857.5646,5919,1565095.0,487814.7331,0
2022-10-25,0.3148,0.3395,0.3133,0.3311,16551671.0,2022-10-25 23:59:59.999000064,5466640.1724,21971,8645264.0,2853601.1996,0
2022-10-26,0.3314,0.3442,0.3289,0.3391,10716602.0,2022-10-26 23:59:59.999000064,3600931.9357,13671,5465799.0,1838696.5326,0
2022-10-27,0.3391,0.3443,0.3249,0.3259,9238600.0,2022-10-27 23:59:59.999000064,3089698.9587,12025,4598456.0,1539757.8623,0
2022-10-28,0.326,0.3378,0.3195,0.333,8044302.0,2022-10-28 23:59:59.999000064,2648290.9314,8890,4318529.0,1423223.4969,0
2022-10-29,0.3335,0.3462,0.3335,0.3397,7830951.0,2022-10-29 23:59:59.999000064,2660274.5676,9262,3774587.0,1282542.5532,0
2022-10-30,0.3396,0.3663,0.3356,0.3594,17573360.0,2022-10-30 23:59:59.999000064,6198065.1667,20678,9378884.0,3311951.1748,0
2022-10-31,0.3591,0.381,0.3517,0.3585,16765519.0,2022-10-31 23:59:59.999000064,6091629.6584,23738,8603486.0,3129307.259,0
2022-11-01,0.359,0.3705,0.3458,0.3599,13027726.0,2022-11-01 23:59:59.999000064,4667314.1156,15162,6409146.0,2297524.2151,0
2022-11-02,0.3601,0.3659,0.3433,0.3618,20584006.0,2022-11-02 23:59:59.999000064,7294200.7741,23840,10289104.0,3648241.9543,0
2022-11-03,0.3617,0.3854,0.3598,0.3699,24130947.0,2022-11-03 23:59:59.999000064,9008499.1846,29072,12785482.0,4774162.385,0
2022-11-04,0.3697,0.4299,0.3656,0.4154,36667293.0,2022-11-04 23:59:59.999000064,14533348.5801,43264,18523833.0,7345538.6031,0
2022-11-05,0.4154,0.4539,0.4032,0.4234,44524296.0,2022-11-05 23:59:59.999000064,19133328.2741,59973,21418455.0,9213654.1728,0
2022-11-06,0.4238,0.4495,0.4014,0.4029,34666406.0,2022-11-06 23:59:59.999000064,14964255.9036,51548,16443568.0,7107152.3087,0
2022-11-07,0.4022,0.4489,0.3962,0.4194,39795222.0,2022-11-07 23:59:59.999000064,16827642.3764,54641,20114783.0,8506385.7869,0
2022-11-08,0.4194,0.4204,0.2831,0.3337,88133846.0,2022-11-08 23:59:59.999000064,32075354.5901,103974,43983777.0,15967169.8863,0
2022-11-09,0.3331,0.3356,0.2507,0.2649,47034573.85,2022-11-09 23:59:59.999000064,14096486.5996,59861,22888717.0,6868139.9922,0
2022-11-10,0.2645,0.328,0.2613,0.3197,37743299.0,2022-11-10 23:59:59.999000064,11361854.1456,45267,18367535.0,5512944.3212,0
2022-11-11,0.3194,0.3293,0.2811,0.3023,31161374.0,2022-11-11 23:59:59.999000064,9486357.5009,38960,15648314.0,4771671.2491,0
2022-11-12,0.3023,0.3029,0.2702,0.2732,23008533.0,2022-11-12 23:59:59.999000064,6427564.3959,23431,11391537.0,3177004.2967,0
2022-11-13,0.2735,0.2773,0.255,0.2614,22951694.0,2022-11-13 23:59:59.999000064,6049243.3735,23355,11096811.0,2922542.6193,0
2022-11-14,0.2617,0.2671,0.2368,0.2605,29395567.0,2022-11-14 23:59:59.999000064,7464767.2324,32935,12952306.0,3288730.1586,0
2022-11-15,0.2607,0.2915,0.2568,0.2814,34453052.0,2022-11-15 23:59:59.999000064,9480229.0327,34578,16419987.0,4509074.9491,0
2022-11-16,0.2815,0.2982,0.2641,0.2755,51248318.0,2022-11-16 23:59:59.999000064,14419741.3702,48332,22503646.0,6340467.3918,0
2022-11-17,0.2758,0.2798,0.2571,0.2679,20791731.0,2022-11-17 23:59:59.999000064,5556552.2294,23085,10181208.0,2720412.4634,0
2022-11-18,0.2675,0.2987,0.267,0.2978,48688065.0,2022-11-18 23:59:59.999000064,13825449.1893,47891,23672444.0,6718320.3237,0
2022-11-19,0.2978,0.3125,0.2879,0.2977,71125661.0,2022-11-19 23:59:59.999000064,21337864.4386,73344,33896773.0,10173252.3869,0
2022-11-20,0.2981,0.299,0.2529,0.2561,55521986.0,2022-11-20 23:59:59.999000064,15533860.3484,52605,26639412.0,7464013.8236,0
2022-11-21,0.2562,0.2568,0.2374,0.2445,32047497.0,2022-11-21 23:59:59.999000064,7927654.788,35050,15313357.0,3790888.4396,0
2022-11-22,0.2447,0.2485,0.22,0.2411,34642558.0,2022-11-22 23:59:59.999000064,8181658.9201,33791,15437315.0,3647791.0719,0
2022-11-23,0.2412,0.2474,0.2354,0.247,25007590.0,2022-11-23 23:59:59.999000064,6051205.4576,23473,12853757.0,3111208.5247,0
2022-11-24,0.247,0.2492,0.2285,0.2421,17839750.0,2022-11-24 23:59:59.999000064,4326311.35,17160,8249315.0,2002130.5769,0
2022-11-25,0.2421,0.2457,0.2336,0.2435,15805462.0,2022-11-25 23:59:59.999000064,3788002.3613,14129,8010785.0,1921659.786,0
2022-11-26,0.2435,0.2474,0.2373,0.2407,12214866.0,2022-11-26 23:59:59.999000064,2966548.6012,10855,6208192.0,1507731.9297,0
2022-11-27,0.2406,0.2492,0.239,0.24,9812514.0,2022-11-27 23:59:59.999000064,2401328.2807,9774,5045693.0,1235144.1323,0
2022-11-28,0.2401,0.2416,0.2266,0.2357,12003692.0,2022-11-28 23:59:59.999000064,2797480.1549,12254,5774838.0,1346838.5081,0
2022-11-29,0.2358,0.2424,0.2334,0.2404,10793931.0,2022-11-29 23:59:59.999000064,2571697.03,9080,6391628.0,1522002.6425,0
2022-11-30,0.2405,0.2498,0.2371,0.2477,14205532.0,2022-11-30 23:59:59.999000064,3473516.2467,12855,6888231.0,1684709.307,0
2022-12-01,0.2477,0.2483,0.2385,0.241,8278715.0,2022-12-01 23:59:59.999000064,2008105.4104,8209,3813860.0,925366.6415,0
2022-12-02,0.241,0.2461,0.2355,0.2442,11921714.0,2022-12-02 23:59:59.999000064,2884582.4036,9730,6203947.0,1500146.7201,0
2022-12-03,0.2442,0.2461,0.2364,0.2375,11784734.0,2022-12-03 23:59:59.999000064,2837533.3386,8104,6054221.0,1458326.8969,0
2022-12-04,0.2375,0.2407,0.2367,0.2394,7661033.0,2022-12-04 23:59:59.999000064,1827640.9467,5770,4301218.0,1026175.2653,0
