,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
0,2020-02-27,0.3776,0.3929,0.3654,0.3705,55806.8,2020-02-27 23:59:59.999000064,21210.306496,203,20864.77,7969.083653,0
1,2020-02-28,0.3798,0.3827,0.335,0.3526,148314.58,2020-02-28 23:59:59.999000064,52363.425579,522,56024.34,19724.125438,0
2,2020-02-29,0.3507,0.3705,0.3236,0.3236,272788.2,2020-02-29 23:59:59.999000064,92466.386737,916,54274.16,18887.107473,0
3,2020-03-01,0.3251,0.3451,0.3087,0.3193,93550.12,2020-03-01 23:59:59.999000064,30256.545291,293,46189.85,14985.371511,0
4,2020-03-02,0.3165,0.3894,0.3133,0.3727,171513.72,2020-03-02 23:59:59.999000064,60499.085807,853,101557.16,35455.432682,0
5,2020-03-03,0.3731,0.3877,0.3558,0.3698,300947.48,2020-03-03 23:59:59.999000064,111178.607077,768,66788.0,24750.970554,0
6,2020-03-04,0.3687,0.4108,0.3662,0.3922,128597.23,2020-03-04 23:59:59.999000064,50286.871514,727,63541.04,24837.585932,0
7,2020-03-05,0.3923,0.4103,0.3775,0.3775,176651.5,2020-03-05 23:59:59.999000064,70057.092972,714,91948.48,36562.753242,0
8,2020-03-06,0.3797,0.3853,0.3622,0.3735,75594.85,2020-03-06 23:59:59.999000064,28044.425151,297,26222.91,9747.114801,0
9,2020-03-07,0.3749,0.3826,0.337,0.3377,102427.18,2020-03-07 23:59:59.999000064,36926.866841,377,43324.7,15618.296719,0
10,2020-03-08,0.3377,0.3394,0.2889,0.2894,244437.36,2020-03-08 23:59:59.999000064,76911.249357,1176,107982.85,34032.394668,0
11,2020-03-09,0.2901,0.2996,0.2496,0.278,305347.85,2020-03-09 23:59:59.999000064,84994.499192,1026,96117.73,26240.04261,0
12,2020-03-10,0.2795,0.2984,0.2696,0.2803,272432.96,2020-03-10 23:59:59.999000064,77442.946888,951,82602.31,23511.219398,0
13,2020-03-11,0.2809,0.2882,0.25,0.2697,144930.98,2020-03-11 23:59:59.999000064,38765.207747,566,71212.67,18939.519012,0
14,2020-03-12,0.27,0.2703,0.1294,0.1384,1108949.73,2020-03-12 23:59:59.999000064,199124.482406,4259,572186.1,98613.296231,0
15,2020-03-13,0.1382,0.1791,0.0971,0.1503,718643.31,2020-03-13 23:59:59.999000064,92549.667054,1331,256326.55,34818.260423,0
16,2020-03-14,0.1512,0.1662,0.1445,0.1482,313586.81,2020-03-14 23:59:59.999000064,50371.85794,369,41054.07,6416.234857,0
17,2020-03-15,0.1482,0.161,0.1414,0.1472,369529.05,2020-03-15 23:59:59.999000064,55104.241969,493,255120.38,37991.948407,0
18,2020-03-16,0.145,0.1462,0.115,0.1234,109676.12,2020-03-16 23:59:59.999000064,13630.44021,252,19140.5,2417.224665,0
19,2020-03-17,0.1273,0.147,0.1245,0.1414,586233.29,2020-03-17 23:59:59.999000064,80142.460665,668,271453.76,38717.859908,0
20,2020-03-18,0.1379,0.1453,0.1287,0.1397,651662.19,2020-03-18 23:59:59.999000064,87194.10775,729,495661.88,66434.273343,0
21,2020-03-19,0.1406,0.1683,0.1403,0.158,446836.47,2020-03-19 23:59:59.999000064,71641.440112,547,179840.94,28720.320395,0
22,2020-03-20,0.1604,0.1858,0.143,0.1563,946983.52,2020-03-20 23:59:59.999000064,153754.790977,964,459169.92,75391.517161,0
23,2020-03-21,0.1559,0.1645,0.1447,0.1526,191681.8,2020-03-21 23:59:59.999000064,29495.661563,406,87245.32,13420.559707,0
24,2020-03-22,0.1528,0.1679,0.1436,0.1465,406259.87,2020-03-22 23:59:59.999000064,63698.547625,613,166922.3,26101.455685,0
25,2020-03-23,0.144,0.163,0.1419,0.1595,312231.11,2020-03-23 23:59:59.999000064,49347.726729,240,203037.25,32237.75629,0
26,2020-03-24,0.1585,0.1645,0.153,0.1596,165204.69,2020-03-24 23:59:59.999000064,26252.195897,359,86936.61,13886.642568,0
27,2020-03-25,0.1591,0.162,0.151,0.1539,67563.63,2020-03-25 23:59:59.999000064,10535.986718,280,32261.89,5035.15594,0
28,2020-03-26,0.1543,0.1596,0.151,0.1592,54696.56,2020-03-26 23:59:59.999000064,8472.190448,243,38735.85,6007.278701,0
29,2020-03-27,0.1596,0.1691,0.1525,0.1545,279520.73,2020-03-27 23:59:59.999000064,45158.523689,793,126967.09,20578.234253,0
30,2020-03-28,0.1539,0.1539,0.145,0.15,134064.69,2020-03-28 23:59:59.999000064,19898.664375,375,40450.28,6008.709952,0
31,2020-03-29,0.1496,0.152,0.1422,0.1442,76884.34,2020-03-29 23:59:59.999000064,11363.976986,171,32704.25,4851.45422,0
32,2020-03-30,0.1445,0.1569,0.1439,0.1556,85594.15,2020-03-30 23:59:59.999000064,13063.865516,196,47294.37,7223.071339,0
