open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2022-10-24,0.06038,0.06093,0.05867,0.05945,97741534.0,2022-10-24 23:59:59.999000064,5827237.83703,23140,50666075.0,3020764.48017,0
2022-10-25,0.05946,0.06427,0.05915,0.06306,310254467.0,2022-10-25 23:59:59.999000064,19233024.06758,72294,158039447.0,9799504.38132,0
2022-10-26,0.06304,0.07369,0.06263,0.07266,962604628.0,2022-10-26 23:59:59.999000064,66327783.2795,221779,468621134.0,32312191.15654,0
2022-10-27,0.07268,0.0855,0.07175,0.07689,2203367159.0,2022-10-27 23:59:59.999000064,172406229.2218,513047,1114521817.0,87162239.06255,0
2022-10-28,0.07687,0.0888,0.07251,0.08386,2790810387.0,2022-10-28 23:59:59.999000064,228204309.8335,597068,1373899334.0,112383115.99038,0
2022-10-29,0.08387,0.151,0.08288,0.12177,7803424641.0,2022-10-29 23:59:59.999000064,929657037.19641,1978340,3933589085.0,467581264.48578,0
2022-10-30,0.12181,0.1435,0.1112,0.11775,4208063821.0,2022-10-30 23:59:59.999000064,525951236.30111,1115220,2064038200.0,258341489.66423,0
2022-10-31,0.11776,0.13176,0.11381,0.12691,3474176611.0,2022-10-31 23:59:59.999000064,427077491.83413,942600,1740573746.0,214181569.55877,0
2022-11-01,0.12683,0.159,0.1245,0.14209,5270566889.0,2022-11-01 23:59:59.999000064,748481740.0716499,1392028,2652578459.0,376704269.88695,0
2022-11-02,0.14211,0.148,0.12201,0.12766,3350682529.0,2022-11-02 23:59:59.999000064,452421501.53285,941246,1653330919.0,223467646.84909,0
2022-11-03,0.12766,0.13698,0.12,0.12261,2109536216.0,2022-11-03 23:59:59.999000064,275103293.36572,514031,1032353191.0,134822021.2298,0
2022-11-04,0.12261,0.12917,0.11552,0.12614,2337379575.0,2022-11-04 23:59:59.999000064,286167949.57935,593261,1149616045.0,140853909.02556,0
2022-11-05,0.12614,0.13596,0.12012,0.12443,1374980692.0,2022-11-05 23:59:59.999000064,176610098.06005,383345,676809174.0,86979801.45123,0
